Бахрейн,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%85%D1%80%D0%B5%D0%B9%D0%BD,Манама,Арабська,15 серпня  1971 — від Великої Британії,Динар ( BHD ),+973
Сомаліленд,https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BC%D0%B0%D0%BB%D1%96%D0%BB%D0%B5%D0%BD%D0%B4,Харгейса  9°33′ пн. ш. 44°03′ сх. д. country H  G  O,Сомалі,від Сомалі,Сомалілендський шилінг 1 ( SLSH ),+252
Бангладеш,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B3%D0%BB%D0%B0%D0%B4%D0%B5%D1%88,Дакка  23°42′ пн. ш. 90°22′ сх. д. country H  G  O,Бенгальська (Бангла),від Пакистану,Така ( BDT ),+880
Бельгія,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D1%96%D1%8F,Брюссель,"нідерландська , французька і німецька",від Нідерландів,Євро ( EUR ),+32
Беліз,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%96%D0%B7,Бельмопан  17°15′ пн. ш. 88°46′ зх. д. country H  G  O,англійська мова,,Белізький долар ( BZD ),+501
Бенін,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BD%D1%96%D0%BD,Порто-Ново  6°28′ пн. ш. 2°36′ сх. д. country H  G  O,Французька,від Франції,Франк КФА ( XOF ),+229
Білорусь,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%BE%D1%80%D1%83%D1%81%D1%8C,Мінськ,білоруська і російська,Невідомо,білоруський рубль ( BYN ),+375
Барбадос,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B1%D0%B0%D0%B4%D0%BE%D1%81,Бриджтаун,англійська мова,від Великої Британії,Барбадоський долар ( BBD ),+246
Придністров'я,https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B4%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9C%D0%BE%D0%BB%D0%B4%D0%B0%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0,Тирасполь,молдовська (кирилиця) українська російська,Невідомо,Придністровський рубль ( PRB ),+373
Південна Осетія,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%9E%D1%81%D0%B5%D1%82%D1%96%D1%8F,Цхінвалі  42°14′ пн. ш. 43°58′ сх. д. country H  G  O,"осетинська , російська , грузинська [ 1 ]",Невідомо,російський рубль ( RUB ),"+7 9971,  +7 9976, +7 99744, +7 995344"
Північний Кіпр,https://uk.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%B5%D1%86%D1%8C%D0%BA%D0%B0_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D0%9A%D1%96%D0%BF%D1%80%D1%83,Північна Нікосія  35°08′ пн. ш. 33°28′ сх. д. country H  G  O,турецька,Невідомо,турецька ліра ( TRY ),+ 90 (+90-392 для ТРПК )
Реюньйон,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%8E%D0%BD%D1%8C%D0%B9%D0%BE%D0%BD,Сен-Дені,Французька,Невідомо,Невідомо,Невідомо
Амбазонія,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B1%D0%B0%D0%B7%D0%BE%D0%BD%D1%96%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Абхазія,https://uk.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D1%96%D0%BA%D0%B0_%D0%90%D0%B1%D1%85%D0%B0%D0%B7%D1%96%D1%8F,Сухумі  40°00′ пн. ш. 41°01′ сх. д. country H  G  O,"абхазька , російська [ 1 ]",Невідомо,"російський рубль , апсар ( RUB )",+7 840 та 7 940
Майотта,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BE%D1%82%D1%82%D0%B0,Мамудзу,Французька мова,Невідомо,Євро ( EUR ),+262
Мартиніка,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D1%96%D0%BA%D0%B0,Фор-де-Франс,,Невідомо,Євро ( EUR ),Невідомо
Гвіана,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D0%B0_%D0%93%D0%B2%D1%96%D0%B0%D0%BD%D0%B0,Каєнна,Французька,Невідомо,Євро ( Класифікація валют (ISO 4217) ),+594
Сінт-Естатіус,https://uk.wikipedia.org/wiki/%D0%A1%D1%96%D0%BD%D1%82-%D0%95%D1%81%D1%82%D0%B0%D1%82%D1%96%D1%83%D1%81,Ораньєстад,"нідерландська , англійська",Невідомо,Американський долар ( USD ),+599
Гонконг,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D0%BA%D0%BE%D0%BD%D0%B3,22°16′ пн. ш. 114°09′ сх. д.,кантонська мова китайська мова англійська мова [ note 2 ],Невідомо,гонконзький долар ( HKD ),+ 852
Сеута,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%83%D1%82%D0%B0,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Суверенні території,https://uk.wikipedia.org/wiki/%D0%A1%D1%83%D0%B2%D0%B5%D1%80%D0%B5%D0%BD%D0%BD%D1%96_%D1%82%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97_%D0%86%D1%81%D0%BF%D0%B0%D0%BD%D1%96%D1%97,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Мадейра,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B4%D0%B5%D0%B9%D1%80%D0%B0,Фуншал,португальська,Невідомо,Євро (€) ( EUR ),+351-291-ххх-ххх
Канарські Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Мелілья,https://uk.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BB%D1%96%D0%BB%D1%8C%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Бонайре,https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B0%D0%B9%D1%80%D0%B5,Кралендейк,"Нідерландська , пап'яменто",Невідомо,Долар США ( USD ),+599
Макао,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%BE,Відсутня [ b ],"Китайська , [ 1 ]  португальська",Невідомо,Аоминська патака ( MOP ),+853
Саба,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B1%D0%B0_(%D0%BE%D1%81%D1%82%D1%80%D1%96%D0%B2),Боттом,"нідерландська , пап'яменто , англійська [ 1 ]",Невідомо,Американський долар ( USD ),+599
Азорські Острови,https://uk.wikipedia.org/wiki/%D0%90%D0%B7%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Понта-Делгада,португальська,Невідомо,Євро (€) ( EUR ),+351
Аланди,https://uk.wikipedia.org/wiki/%D0%90%D0%BB%D0%B0%D0%BD%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Марієгамн,шведська,Невідомо,Євро ( EUR ),+358 18
Сен-П'єр і Мікелон,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%9F%27%D1%94%D1%80_%D1%96_%D0%9C%D1%96%D0%BA%D0%B5%D0%BB%D0%BE%D0%BD,Сен-П'єр,французька,Невідомо,Євро ( EUR ),+508
Французькі Південні і Антарктичні Території,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D1%96_%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D1%96_%D1%96_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D1%96_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%97,Порт-о-Франсе,Французька,Невідомо,Невідомо,Невідомо
Гваделупа,https://uk.wikipedia.org/wiki/%D0%93%D0%B2%D0%B0%D0%B4%D0%B5%D0%BB%D1%83%D0%BF%D0%B0,Бас-Тер,,Невідомо,Євро ( EUR ),Невідомо
Сен-Мартен,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%9C%D0%B0%D1%80%D1%82%D0%B5%D0%BD_(%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%96%D1%8F),Маріго  18°05′ пн. ш. 63°03′ зх. д. country H  G  O,Французька,Невідомо,Євро ( EUR ),+590
Французька Полінезія,https://uk.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%8C%D0%BA%D0%B0_%D0%9F%D0%BE%D0%BB%D1%96%D0%BD%D0%B5%D0%B7%D1%96%D1%8F,Папеете,"Французька , таїтянська",Невідомо,Французький тихоокеанський франк ( XPF ),+689
Сен-Бартельмі,https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD-%D0%91%D0%B0%D1%80%D1%82%D0%B5%D0%BB%D1%8C%D0%BC%D1%96,Густавія,Французька,Невідомо,Євро ( EUR ),Невідомо
Зовнішні малі острови США,https://uk.wikipedia.org/wiki/%D0%97%D0%BE%D0%B2%D0%BD%D1%96%D1%88%D0%BD%D1%96_%D0%BC%D0%B0%D0%BB%D1%96_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A1%D0%A8%D0%90,,англійська,Невідомо,Долар США ( USD ),Невідомо
Гуам,https://uk.wikipedia.org/wiki/%D0%93%D1%83%D0%B0%D0%BC,Хагатна,"англійська , чаморро",Невідомо,Долар США ( USD ),++1-671
Кліппертон,https://uk.wikipedia.org/wiki/%D0%9A%D0%BB%D1%96%D0%BF%D0%BF%D0%B5%D1%80%D1%82%D0%BE%D0%BD,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Північні Маріани,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%BD%D1%96%D1%87%D0%BD%D1%96_%D0%9C%D0%B0%D1%80%D1%96%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Капітолій (острів Сайпан ),"англійська , чаморро",Невідомо,долар США ( Класифікація валют (ISO 4217) ),+1 670
Нова Каледонія,https://uk.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B0_%D0%9A%D0%B0%D0%BB%D0%B5%D0%B4%D0%BE%D0%BD%D1%96%D1%8F,Нумеа,французька,Невідомо,Французький тихоокеанський франк ( XPF ),+687
Волліс і Футуна,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%BB%D1%96%D1%81_%D1%96_%D0%A4%D1%83%D1%82%D1%83%D0%BD%D0%B0,Мата-Уту,французька,Невідомо,Французький тихоокеанський франк ( XPF ),+681
Пуерто-Рико,https://uk.wikipedia.org/wiki/%D0%9F%D1%83%D0%B5%D1%80%D1%82%D0%BE-%D0%A0%D0%B8%D0%BA%D0%BE,Сан-Хуан,"іспанська мова , англійська мова",Невідомо,Долар США ( USD ),"+1-787, +1-939"
Свальбард,https://uk.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B0%D0%BB%D1%8C%D0%B1%D0%B0%D1%80%D0%B4,Лонг'їр,норвезька,Невідомо,Норвезька крона ( NOK ),+47
Американські Віргіни,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%92%D1%96%D1%80%D0%B3%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Шарлотта-Амалія,англійська мова,Невідомо,Долар США ( USD ),Невідомо
Земля Королеви Мод,https://uk.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%BB%D1%8F_%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D0%B8_%D0%9C%D0%BE%D0%B4,,немає,Невідомо,Невідомо,Невідомо
Американське Самоа,https://uk.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B5_%D0%A1%D0%B0%D0%BC%D0%BE%D0%B0,Паго-Паго,"самоанська , англійська",Невідомо,долар США ( USD ),+1 684
Ян-Маєн,https://uk.wikipedia.org/wiki/%D0%AF%D0%BD-%D0%9C%D0%B0%D1%94%D0%BD,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Кюрасао,https://uk.wikipedia.org/wiki/%D0%9A%D1%8E%D1%80%D0%B0%D1%81%D0%B0%D0%BE,Віллемстад,"Нідерландська , Пап'яменто , й англійська",Невідомо,Гульден Нідерландських Антильських островів ( ANG ),+ +599
Сінт-Мартен,https://uk.wikipedia.org/wiki/%D0%A1%D1%96%D0%BD%D1%82-%D0%9C%D0%B0%D1%80%D1%82%D0%B5%D0%BD,Філіпсбург,"нідерландська , англійська",Невідомо,Нідерландський антильський гульден ( ANG ),+599
Токелау,https://uk.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BA%D0%B5%D0%BB%D0%B0%D1%83,Атафу,мова Токелау англійська  самоанська 1,Невідомо,Новозеландський долар ( NZD ),+690
Територія Росса,https://uk.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F_%D0%A0%D0%BE%D1%81%D1%81%D0%B0,Скотт Мак-Мердо,англійська,Невідомо,Невідомо,+64-2409
Острів Буве,https://uk.wikipedia.org/wiki/%D0%91%D1%83%D0%B2%D0%B5,54°25′ пд. ш. 3°22′ сх. д.,немає,Невідомо,Невідомо,Невідомо
Острів Петра I,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9F%D0%B5%D1%82%D1%80%D0%B0_I,68°50′ пд. ш. 90°35′ зх. д.,немає,Невідомо,Невідомо,Невідомо
Ніуе,https://uk.wikipedia.org/wiki/%D0%9D%D1%96%D1%83%D0%B5,Алофі,"Англійська , ніуе",від Нової Зеландії,"Новозеландський долар , Долар Ніуе ( NZD )",+683
Теркс і Кайкос,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A2%D0%B5%D1%80%D0%BA%D1%81_%D1%96_%D0%9A%D0%B0%D0%B9%D0%BA%D0%BE%D1%81,Кокберн-Таун  21°28′ пн. ш. 71°08′ зх. д. country H  G  O,англійська мова,Невідомо,Долар США ( USD ),+1-649
Піткерн,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D1%82%D0%BA%D0%B5%D1%80%D0%BD,Адамстаун,"піткернська , англійська",Невідомо,Новозеландський долар ( Класифікація валют (ISO 4217) ),+64
Гренландія,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BD%D0%BB%D0%B0%D0%BD%D0%B4%D1%96%D1%8F,Нуук,Гренландська,Невідомо,Данська крона ( DKK ),+299
Фарери,https://uk.wikipedia.org/wiki/%D0%A4%D0%B0%D1%80%D0%B5%D1%80%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Торсгавн  62°00′ пн. ш. 06°47′ зх. д. country H  G  O,"данська , фарерська",Невідомо,Фарерська крона ( DKK ),+298
Аруба,https://uk.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D0%B1%D0%B0,Ораньєстад,"нідерландська мова , пап'яменто [ 1 ]",Невідомо,Арубський флорін ( AWG ),+297
Фолкленди,https://uk.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D0%BA%D0%BB%D0%B5%D0%BD%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Порт-Стенлі,англійська,Невідомо,Фолклендський фунт  [b] ( FKP ),+500
Південна Джорджія і Південні Сандвічеві Острови,https://uk.wikipedia.org/wiki/%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D0%B0_%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D1%96%D1%8F_%D1%96_%D0%9F%D1%96%D0%B2%D0%B4%D0%B5%D0%BD%D0%BD%D1%96_%D0%A1%D0%B0%D0%BD%D0%B4%D0%B2%D1%96%D1%87%D0%B5%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Грютвікен ( Кінг-Едвард-Пойнт ),англійська,Невідомо,Фунт стерлінгів ( GBP ),Невідомо
Острови Кука,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%9A%D1%83%D0%BA%D0%B0,Аваруа,маорі о-вів Кука англійська 1,Невідомо,Новозеландський долар ( NZD ),+682
Острів Мен,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9C%D0%B5%D0%BD,Дуглас,англійська  менська,Невідомо,Фунт острова Мен (прив'язаний до Фунта стерлінгів ) ( IMP;GBP ),++44
"Острови Святої Єлени, Вознесіння і Тристан-да-Кунья","https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D1%97_%D0%84%D0%BB%D0%B5%D0%BD%D0%B8,_%D0%92%D0%BE%D0%B7%D0%BD%D0%B5%D1%81%D1%96%D0%BD%D0%BD%D1%8F_%D1%96_%D0%A2%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%BD-%D0%B4%D0%B0-%D0%9A%D1%83%D0%BD%D1%8C%D1%8F",Джеймстаун,англійська,Невідомо,"Фунт Святої Єлени , Фунт стерлінгів ( SHP, GBP )",Невідомо
Монтсеррат,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BD%D1%82%D1%81%D0%B5%D1%80%D1%80%D0%B0%D1%82,Плімут 1 (Де-юре) Брейдс (Де-факто),англійська,Невідомо,східнокарибський долар ( XCD ),Невідомо
Британські Віргіни,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%92%D1%96%D1%80%D0%B3%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Род-Таун,англійська,Невідомо,долар США ( USD ),Невідомо
Гернсі,https://uk.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BD%D1%81%D1%96,Сент Пітер Порт,"англійська , французька",Невідомо,Фунт стерлінгів ;  Гернсійський фунт ( GBP;GGP ),+44
Джерсі,https://uk.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D1%80%D1%81%D1%96,Сент-Гелієр,англійська ; французька ; нормандська ( джерсійський діалект ),Невідомо,"Фунт стерлінгів , Джерсійський фунт ( GBP;JEP )",+44-1534
Кайманові Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B9%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Джорджтаун  19°20′ пн. ш. 81°24′ зх. д. country H  G  O,Англійська,від Ямайки,Долар Кайманових Островів ( KYD ),+1 345
Гібралтар,https://uk.wikipedia.org/wiki/%D0%93%D1%96%D0%B1%D1%80%D0%B0%D0%BB%D1%82%D0%B0%D1%80,Гібралтар 36°08′ пн. ш. 5°21′ зх. д. country H  G  O,англійська,Невідомо,Гібралтарський фунт £ ( GIP ),+ +350
Бермуди,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%BC%D1%83%D0%B4%D1%81%D1%8C%D0%BA%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Гамільтон  32°18′ пн. ш. 64°47′ зх. д. country H  G  O,Англійська 1,Невідомо,Бермудський долар 3 ( BMD ),+1 441
Ангілья,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D1%96%D0%BB%D1%8C%D1%8F,Валлі,англійська,Невідомо,Східно-карибський долар ( XCD ),Невідомо
Акротирі і Декелія,https://uk.wikipedia.org/wiki/%D0%90%D0%BA%D1%80%D0%BE%D1%82%D0%B8%D1%80%D1%96_%D1%96_%D0%94%D0%B5%D0%BA%D0%B5%D0%BB%D1%96%D1%8F,Епіскопі,"англійська , грецька",Невідомо,Євро ( EUR ),+ 357
Острів Різдва,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%A0%D1%96%D0%B7%D0%B4%D0%B2%D0%B0,--,немає,Невідомо,Австралійський долар ( AUD ),+61
Британська Антарктична Територія,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F,Ротера,Англійська,Невідомо,Невідомо,Невідомо
Острови Ашмор і Картьє,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%90%D1%88%D0%BC%D0%BE%D1%80_%D1%96_%D0%9A%D0%B0%D1%80%D1%82%D1%8C%D1%94,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Австралійська Антарктична Територія,https://uk.wikipedia.org/wiki/%D0%90%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D1%82%D0%B0%D1%80%D0%BA%D1%82%D0%B8%D1%87%D0%BD%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F,Девіс (антарктична станція),немає,Невідомо,австралійський долар ( Класифікація валют (ISO 4217) ),+672
Острів Норфолк,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D1%96%D0%B2_%D0%9D%D0%BE%D1%80%D1%84%D0%BE%D0%BB%D0%BA,Кінгстон (острів Норфолк),"Норфолкська мова , англійська",Невідомо,Австралійський долар ( AUD ),++6723
Кокосові Острови,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BA%D0%BE%D1%81%D0%BE%D0%B2%D1%96_%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8,Західний острів,англійська ( de facto ),Невідомо,Австралійський долар ( AUD ),+61 891
Острови Коралового моря,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%9A%D0%BE%D1%80%D0%B0%D0%BB%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BC%D0%BE%D1%80%D1%8F,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Острів Герд і острови Макдональд,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B8_%D0%93%D0%B5%D1%80%D0%B4_%D1%96_%D0%9C%D0%B0%D0%BA%D0%B4%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%B4,Невідомо,Невідомо,Невідомо,Невідомо,Невідомо
Японія,https://uk.wikipedia.org/wiki/%D0%AF%D0%BF%D0%BE%D0%BD%D1%96%D1%8F,Токіо [ ком. 1 ],немає [ ком. 2 ] [ 3 ],Невідомо,Єна (¥) ( JPY ),+81
Британська Територія в Індійському Океані,https://uk.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%A2%D0%B5%D1%80%D0%B8%D1%82%D0%BE%D1%80%D1%96%D1%8F_%D0%B2_%D0%86%D0%BD%D0%B4%D1%96%D0%B9%D1%81%D1%8C%D0%BA%D0%BE%D0%BC%D1%83_%D0%9E%D0%BA%D0%B5%D0%B0%D0%BD%D1%96,Дієго-Гарсія,Англійська,Невідомо,Долар США [ 1 ] ( USD ),+246
